Pick,Team,Player,position,College
179,SEA,Sataoa Laumea,OL,Utah
180,NWE,Marcellas Dial,DB,South Carolina
181,LAC,Kimani Vidal,RB,Troy
182,TEN,Jha'Quan Jackson,WR,Tulane
183,NYG,Darius Muasau,LB,UCLA
184,MIA,Malik Washington,WR,Virginia
185,PHI,Johnny Wilson,WR,Florida St.
186,ATL,Jase McClellan,RB,Alabama
187,ATL,Casey Washington,WR,Illinois
188,HOU,Jamal Hill,LB,Oregon
189,DET,Mekhi Wingo,DT,LSU
190,PHI,Dylan McMahon,OL,North Carolina St.
191,ARI,Tejhaun Palmer,WR,Ala-Birmingham
192,SEA,D.J. James,CB,Auburn
193,NWE,Joe Milton,QB,Tennessee
194,CIN,Tanner McLachlan,TE,Arizona
195,PIT,Ryan Watts,SAF,Texas
196,LAR,Tyler Davis,DT,Clemson
197,ATL,Zion Logue,DL,Georgia
198,MIA,Patrick McMorris,DB,California
199,NOR,Khristian Boyd,DL,Northern Iowa
200,CAR,Jaden Crumedy,DT,Mississippi St.
201,IND,Micah Abraham,CB,Marshall
202,GNB,Travis Glover,OT,Georgia St.
203,MIN,Will Reichard,K,Alabama
204,BUF,Tylan Grable,OL,Central Florida
205,HOU,Jawhar Jordan,RB,Louisville
206,CLE,Nathaniel Watson,LB,Mississippi St.
207,SEA,Michael Jerrell,OT,Findlay
208,LVR,Dylan Laube,RB,New Hampshire
209,LAR,Joshua Karty,K,Stanford
210,DET,Christian Mahogany,OL,Boston Col.
211,KAN,Kamal Hadden,DB,Tennessee
212,JAX,Cam Little,K,Arkansas
213,LAR,Jordan Whittington,WR,Texas
214,CIN,Cedric Johnson,DE,Mississippi
215,SFO,Jarrett Kingston,OL,USC
216,DAL,Ryan Flournoy,WR,SE Missouri St.
217,LAR,Beaux Limmer,OL,Arkansas
218,BAL,Devin Leary,QB,Kentucky
219,BUF,Daequan Hardy,CB,Penn St.
220,TAM,Elijah Klein,OG,Texas-El Paso
Pick,Tm,Player,Pos,College/Univ
221,BUF,Travis Clayton,OT,
222,WAS,Javontae Jean-Baptiste,DL,Notre Dame
223,LVR,Trey Taylor,FS,Air Force
224,CIN,Daijahn Anthony,SAF,Mississippi
225,LAC,Brenden Rice,WR,USC
226,ARI,Jaden Davis,DB,Miami (FL)
227,CLE,Myles Harden,DB,South Dakota
228,BAL,Nick Samac,C,Michigan St.
229,LVR,M.J. Devonshire,DB,Pittsburgh
230,MIN,Michael Jurgens,OL,Wake Forest
231,NWE,Jaheim Bell,TE,Florida St.
232,MIN,Levi Drake Rodriguez,DT,Texas A&M-Commerce
233,DAL,Nathan Thomas,OL,Louisiana
234,IND,Jonah Laulu,DL,Oklahoma
235,DEN,Devaughn Vele,WR,Utah
236,JAX,Myles Cole,OLB,Texas Tech
237,CIN,Matt Lee,C,Miami (FL)
238,HOU,Solomon Byrd,DE,USC
239,NOR,Josiah Ezirim,OT,Eastern Kentucky
240,CAR,Michael Barrett,LB,Michigan
241,MIA,Tahj Washington,WR,USC
242,TEN,James Williams,SAF,Miami (FL)
243,CLE,Jowon Briggs,DE,Cincinnati
244,DAL,Justin Rogers,DL,Auburn
245,GNB,Michael Pratt,QB,Tulane
246,TAM,Devin Culp,TE,Washington
247,HOU,Marcus Harris,DL,Auburn
248,KAN,C.J. Hanson,OG,Holy Cross
249,HOU,LaDarius Henderson,OL,Michigan
250,BAL,Sanoussi Kane,SAF,Purdue
251,SFO,Tatum Bethune,LB,Florida St.
252,TEN,Jaylen Harrell,DE,Michigan
253,LAC,Cornelius Johnson,WR,Michigan
254,LAR,KT Leveston,OL,Kansas St.
255,GNB,Kalen King,CB,Penn St.
256,DEN,Nick Gargiulo,OL,South Carolina
257,NYJ,Jaylen Key,SAF,Alabama
