Player,Bye,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Deshaun Watson,5,98,171,105,"1,115",7,4,0,26,142,1,3,0,0,0,0,2,0
Kendrick Bourne,11,96,0,0,0,0,0,0,1,4,0,0,37,406,4,0,1,0
Jaleel McLaughlin,9,95,0,0,0,0,0,0,76,410,1,0,31,160,2,0,0,0
Rondale Moore,14,95,0,0,0,0,0,0,28,178,1,0,40,352,1,0,0,0
Zach Charbonnet,5,94,0,0,0,0,0,0,108,462,1,0,33,209,0,0,0,0
Juwan Johnson,11,93,0,0,0,0,0,0,0,0,0,0,37,368,4,0,0,0
Nelson Agholor,13,92,0,0,0,0,0,0,0,0,0,0,35,381,4,0,0,0
Roschon Johnson,13,92,0,0,0,0,0,0,81,352,2,0,34,209,0,0,0,0
Ty Chandler,13,91,0,0,0,0,0,0,102,461,3,0,21,159,0,0,0,0
Tyrod Taylor,13,91,180,116,"1,341",5,3,0,38,197,0,0,0,0,0,0,0,0
Alec Pierce,11,90,0,0,0,0,0,0,0,0,0,0,32,514,2,0,0,0
Kalif Raymond,9,90,0,0,0,0,0,0,7,75,0,0,35,489,1,0,0,0
Trey Palmer,5,89,0,0,0,0,0,0,3,22,0,0,39,385,3,0,1,0
Kenny Gainwell,10,88,1,1,17,0,0,0,84,364,2,1,30,183,0,0,1,0
D'Onta Foreman,13,87,0,0,0,0,0,0,109,425,4,0,11,77,1,0,0,0
Quentin Johnston,5,86,0,0,0,0,0,0,3,9,0,0,38,431,2,0,0,0
Michael Thomas,11,86,0,0,0,0,0,0,0,0,0,0,39,448,1,0,0,0
Demarcus Robinson,10,85,0,0,0,0,0,0,1,23,0,0,26,371,4,0,1,0
Justin Watson,10,85,0,0,0,0,0,0,0,0,0,0,27,460,3,0,1,0
Robert Woods,7,84,0,0,0,0,0,0,1,7,0,0,40,426,1,0,0,0
Michael Gallup,7,83,0,0,0,0,0,0,0,0,0,0,34,418,2,0,0,0
Ryan Tannehill,7,82,230,149,"1,616",4,7,0,17,74,1,0,0,0,0,0,0,0
Miles Sanders,7,80,0,0,0,0,0,0,129,432,1,0,27,154,0,0,2,0
Jonathan Mingo,7,79,0,0,0,0,0,0,0,0,0,0,43,418,0,0,0,0
Rico Dowdle,7,78,0,0,0,0,0,0,89,361,2,0,17,144,2,0,0,0
Nick Westbrook,7,78,0,0,0,0,0,0,0,0,0,0,28,370,3,1,0,0
Jerick McKinnon,10,77,1,1,4,1,0,0,21,60,1,0,25,192,4,0,0,0
Nick Mullens,13,77,148,100,"1,306",7,8,0,10,25,0,0,0,0,0,0,0,0
Anthony Richardson,11,76,84,50,577,3,1,2,25,136,4,0,0,0,0,0,1,0
Bailey Zappe,11,76,212,127,"1,272",6,9,0,17,83,1,0,0,0,0,0,1,0
Jimmy Garoppolo,13,74,169,110,"1,205",7,9,1,20,39,0,0,0,0,0,0,0,0
Tanner Hudson,7,74,0,0,0,0,0,0,0,0,0,0,39,352,1,0,0,0
Zay Jones,9,74,0,0,0,0,0,0,0,0,0,0,34,321,2,0,0,0
Tucker Kraft,6,74,0,0,0,0,0,0,0,0,0,0,31,355,2,0,0,0
Darnell Mooney,13,74,0,0,0,0,0,0,2,5,0,0,31,414,1,0,0,0
Donald Parham,5,74,0,0,0,0,0,0,0,0,0,0,27,285,4,0,0,0
Easton Stick,5,74,174,111,"1,129",3,1,0,27,144,1,0,0,0,0,0,4,0
